field_1,fid,SciName,Longitude,Latitude,issues,countryCod,individual,occurrence,coordinate,institutio,gbifID,references,basisOfRec,year,month,day,eventDate,geodeticDa,datasetNam,layer,path,NVG,URB,FOR,GRS,CULTIR,CULTRF,CULT,WATER
14,4433,Geranium lucidum,5.443778,50.347088,"cdround,colmano,inmafu",BEL,NA,PRESENT,750,BR,381613033,NA,HUMAN_OBSERVATION,1971,4,11,1971-04-11,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,2.743999958,38.93283081,50.8133316,0,7.50983572,7.50983572,0
15,4434,Geranium lucidum,-4.44436,57.282369,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,2944274577,NA,HUMAN_OBSERVATION,1971,4,22,1971-04-22,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.354699999,34.27803421,30.56771469,0,3.884751558,3.884751558,30.91479874
16,4435,Geranium lucidum,-4.233961,57.369852,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,2955025961,NA,HUMAN_OBSERVATION,1971,4,23,1971-04-23,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.5273,30.72121048,62.99673462,0,5.75475359,5.75475359,0
17,4437,Geranium lucidum,-5.854227,57.233972,fpwktinv,GBR,NA,PRESENT,707.1,BSBI,2941795768,NA,HUMAN_OBSERVATION,1971,5,1,1971-05-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.163399994,37.33089066,52.40701675,0,1.098694325,1.098694325,9
18,4436,Geranium lucidum,-2.659266,51.665425,fpwktinv,GBR,NA,PRESENT,707.1,Gloucestershire Centre for Environmental Records,2933615919,NA,HUMAN_OBSERVATION,1971,5,21,1971-05-21,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0,0,0,0.249017894,0.249017894,0,0
19,4440,Geranium lucidum,-3.414007,51.7806,fpwktinv,GBR,NA,PRESENT,70.7,BIS,2939182016,NA,HUMAN_OBSERVATION,1971,6,3,1971-06-03,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,16.07410049,30.91209221,48.23274231,0,4.781064034,4.781064034,0
20,4438,Geranium lucidum,16.597633,58.436909,"cdround,gass84",SWE,NA,PRESENT,250,<U+FFFD>sterg<U+FFFD>tlands flora,856015233,NA,HUMAN_OBSERVATION,1971,6,10,1971-06-10,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.089199998,40.58525848,18.81378555,0.330142707,20.5117569,20.18161392,20
21,4439,Geranium lucidum,9.41667,42.73333,"gass84,colmano,inmafu",FRA,NA,PRESENT,850,G,1144688126,NA,PRESERVED_SPECIMEN,1971,6,22,1971-06-22,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,14.5866003,22.73978615,10.4009037,0.837362289,1.272709966,0.435347676,51
22,4443,Geranium lucidum,-3.429066,51.775472,fpwktinv,GBR,NA,PRESENT,707.1,SEWBReC,2999706971,NA,HUMAN_OBSERVATION,1971,9,12,1971-09-12,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,2.311300039,39.1449585,52.14657593,0,6.397163868,6.397163868,0
23,4442,Geranium lucidum,16.693968,58.318598,gass84,SWE,NA,PRESENT,500,<U+FFFD>sterg<U+FFFD>tlands flora,856017502,NA,HUMAN_OBSERVATION,1971,9,13,1971-09-13,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.139300004,43.90302658,17.27437401,0.092172153,9.683299065,9.591126442,29
24,4441,Geranium lucidum,-123.2277,45.412,"gass84,colmafu,inmafu",USA,NA,PRESENT,804.67,OSC,51844614,NA,PRESERVED_SPECIMEN,1971,9,14,1971-09-14,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,1.380699992,24.82149315,14.50836659,23.61058044,59.28944016,35.67885971,0
25,4444,Geranium lucidum,-3.19715,53.158552,fpwktinv,GBR,NA,PRESENT,70.7,Cofnod,2942295690,NA,HUMAN_OBSERVATION,1971,11,NA,1971-11-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,1.583299995,3.912636042,70.99017334,0,23.51388741,23.51388741,0
26,4263,Geranium lucidum,12.495637,58.513761,gass84,SWE,NA,PRESENT,250,ArtDatabanken,1428926496,NA,HUMAN_OBSERVATION,1978,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,1.376699925,16.45366097,11.22705078,3.386347055,66.94258881,63.55624008,4
