"","field_1","species","decimallon","decimallat","issues","countryCod","occurrence","coordinate","institutio","gbifID","references","basisOfRec","year","month","day","eventDate","geodeticDa"
"325",86754,"Eichhornia crassipes",-82.22821,27.1723,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,9,28,"09-28-95","WGS84"
"326",86761,"Eichhornia crassipes",-82.43995,29.75764,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,9,28,"09-28-95","WGS84"
"327",84801,"Eichhornia crassipes",-82.39295,27.05696,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,9,29,"09-29-95","WGS84"
"328",84803,"Eichhornia crassipes",-82.38435,27.06401,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,9,29,"09-29-95","WGS84"
"329",84805,"Eichhornia crassipes",-82.37656,27.07153,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,9,29,"09-29-95","WGS84"
"330",87176,"Eichhornia crassipes",-82.38873,27.1911,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,9,29,"09-29-95","WGS84"
"331",86648,"Eichhornia crassipes",-82.27862,28.04474,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,9,30,"09-30-95","WGS84"
"332",86651,"Eichhornia crassipes",-82.26118,28.06167,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,9,30,"09-30-95","WGS84"
"333",86652,"Eichhornia crassipes",-82.28531,28.06543,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,9,30,"09-30-95","WGS84"
"334",86877,"Eichhornia crassipes",-82.27784,28.01794,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,9,30,"09-30-95","WGS84"
"335",86878,"Eichhornia crassipes",-82.29441,28.03248,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,9,30,"09-30-95","WGS84"
"336",86880,"Eichhornia crassipes",-82.2615,28.03256,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,9,30,"09-30-95","WGS84"
"337",84611,"Eichhornia crassipes",-82.64569,27.72868,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,10,3,"10-03-95","WGS84"
"338",84621,"Eichhornia crassipes",-82.65514,27.73791,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,10,3,"10-03-95","WGS84"
"339",84625,"Eichhornia crassipes",-82.66887,27.74076,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,10,3,"10-03-95","WGS84"
"340",86408,"Eichhornia crassipes",-81.96936,29.23734,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,10,19,"10-19-95","WGS84"
"341",84552,"Eichhornia crassipes",-80.17596,26.93856,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,11,3,"11-03-95","WGS84"
"342",84572,"Eichhornia crassipes",-80.16577,27.02198,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,11,3,"11-03-95","WGS84"
"343",85215,"Eichhornia crassipes",-80.27256,26.07012,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1995,11,22,"11-22-95","WGS84"
"344",1960,"Eichhornia crassipes",141.669376,-3.974863,"cdround,gass84","PNG","PRESENT",244,"iNaturalist",2988608677,"https://www.inaturalist.org/observations/61299944","HUMAN_OBSERVATION",1995,8,11,"1995-08-11","WGS84"
"345",1027117,"Eichhornia crassipes",-80.22217,26.49833,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,1,1,"01-01-96","WGS84"
"346",2464083,"Eichhornia crassipes",-157.9834,21.45307,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,1,1,"01-01-96","WGS84"
"347",2464084,"Eichhornia crassipes",-159.56543,22.08564,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,1,1,"01-01-96","WGS84"
"348",2464519,"Eichhornia crassipes",-95.10326,29.62551,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,1,1,"01-01-96","WGS84"
"349",2470476,"Eichhornia crassipes",-121.4833,38.25,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,1,1,"01-01-96","WGS84"
"350",3735666,"Eichhornia crassipes",-99.98,20.86,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,3,20,"03-20-96","WGS84"
"351",2466568,"Eichhornia crassipes",-92.87292,31.91938,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,5,10,"05-10-96","WGS84"
"352",3735667,"Eichhornia crassipes",-100.1,20.43,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,5,16,"05-16-96","WGS84"
"353",3599495,"Eichhornia crassipes",-99.32,18.61,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,5,22,"05-22-96","WGS84"
"354",3599496,"Eichhornia crassipes",-99.29,18.57,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,5,22,"05-22-96","WGS84"
"355",3813132,"Eichhornia crassipes",-99.45,18.64,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,5,22,"05-22-96","WGS84"
"356",3599493,"Eichhornia crassipes",-99.43,18.73,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,5,30,"05-30-96","WGS84"
"357",3599529,"Eichhornia crassipes",-99.31,18.58,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,5,31,"05-31-96","WGS84"
"358",3877677,"Eichhornia crassipes",-93.14,17.96,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,6,9,"06-09-96","WGS84"
"359",3354654,"Eichhornia crassipes",-102.8,21.76,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,7,26,"07-26-96","WGS84"
"360",3599494,"Eichhornia crassipes",-99.35,18.65,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,7,27,"07-27-96","WGS84"
"361",3599497,"Eichhornia crassipes",-99.38,18.57,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,7,30,"07-30-96","WGS84"
"362",2470454,"Eichhornia crassipes",-111.89278,34.7675,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,9,13,"09-13-96","WGS84"
"363",3599501,"Eichhornia crassipes",-98.98,18.88,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,9,24,"09-24-96","WGS84"
"364",3599502,"Eichhornia crassipes",-99.04,18.87,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,9,27,"09-27-96","WGS84"
"365",3599491,"Eichhornia crassipes",-98.94,18.84,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,10,6,"10-06-96","WGS84"
"366",2469049,"Eichhornia crassipes",-94.06177,29.98423,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1996,11,2,"11-02-96","WGS84"
"367",1959,"Eichhornia crassipes",-120.690339,35.266496,NA,"USA","PRESENT",1000,"OBI",2520678485,"https://cch2.org/portal/collections/individual/index.php?occid=3775736","PRESERVED_SPECIMEN",1996,6,25,"1996-06-25","WGS84"
"368",2469056,"Eichhornia crassipes",-82.35311,34.86127,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1997,1,1,"01-01-97","WGS84"
"369",3599510,"Eichhornia crassipes",-98.94,18.65,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1997,9,12,"09-12-97","WGS84"
"370",3877676,"Eichhornia crassipes",-103.2,21.18,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1997,10,1,"10-01-97","WGS84"
"371",3735647,"Eichhornia crassipes",-103.3,20.43,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1997,10,5,"10-05-97","WGS84"
"372",2470455,"Eichhornia crassipes",-112.16386,34.03755,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1997,10,10,"10-10-97","WGS84"
"373",2061904,"Eichhornia crassipes",-73.453,41.7317,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1997,10,29,"10-29-97","WGS84"
"374",1958,"Eichhornia crassipes",150.698754,-33.613392,"cdround","AUS","PRESENT",100,"NSW Dept of Planning, Industry and Environment",1069793813,"https://biocache.ala.org.au/occurrences/eecb7e8b-8a92-4002-91c4-ed4f720565d4","HUMAN_OBSERVATION",1997,12,7,"1997-12-07","WGS84"
"375",9297097,"Eichhornia crassipes",-121.578,38.1302,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,1,1,"01-01-98","WGS84"
"376",3877684,"Eichhornia crassipes",-93.88,17.9,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,2,8,"02-08-98","WGS84"
"377",3813130,"Eichhornia crassipes",-99.22,18.56,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,2,11,"02-11-98","WGS84"
"378",3728098,"Eichhornia crassipes",-92.6,18.36,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,3,12,"03-12-98","WGS84"
"379",3813129,"Eichhornia crassipes",-99.07,18.37,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,3,12,"03-12-98","WGS84"
"380",3728099,"Eichhornia crassipes",-92.47,18.4,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,3,13,"03-13-98","WGS84"
"381",2479690,"Eichhornia crassipes",-121.78023,38.03187,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,6,1,"06-01-98","WGS84"
"382",2479691,"Eichhornia crassipes",-121.53969,38.05782,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,6,1,"06-01-98","WGS84"
"383",2479692,"Eichhornia crassipes",-121.79993,38.03349,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,6,1,"06-01-98","WGS84"
"384",2479693,"Eichhornia crassipes",-121.53454,38.0662,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,6,3,"06-01-98","WGS84"
"385",3806301,"Eichhornia crassipes",-92.52,18.36,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,6,3,"06-03-98","WGS84"
"386",3806302,"Eichhornia crassipes",-92.47,18.31,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,6,5,"06-05-98","WGS84"
"387",2468660,"Eichhornia crassipes",-92.06049,37.62504,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,8,1,"08-01-98","WGS84"
"388",2479694,"Eichhornia crassipes",-121.86468,38.03881,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,8,1,"08-01-98","WGS84"
"389",2479695,"Eichhornia crassipes",-121.51394,37.99738,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,8,1,"08-01-98","WGS84"
"390",3627912,"Eichhornia crassipes",-92.63,18.27,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,9,12,"09-12-98","WGS84"
"391",3621279,"Eichhornia crassipes",-92.31,17.97,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,9,16,"09-16-98","WGS84"
"392",2469235,"Eichhornia crassipes",-76.47283,39.10715,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,10,8,"10-08-98","WGS84"
"393",2470489,"Eichhornia crassipes",-118.34146,34.26913,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,10,16,"10-16-98","WGS84"
"394",2046924,"Eichhornia crassipes",-70.60152,41.75968,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,10,18,"10-18-98","NAD83"
"395",2470482,"Eichhornia crassipes",-121.894,38.096,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,10,19,"10-19-98","WGS84"
"396",3728112,"Eichhornia crassipes",-92.6,18.4,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,10,29,"10-29-98","WGS84"
"397",3728105,"Eichhornia crassipes",-92.66,18.24,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1998,11,1,"11-01-98","WGS84"
"398",1952,"Eichhornia crassipes",152.891636,-29.684245,"cdround,inmano","AUS","PRESENT",50,"NSW Dept of Planning, Industry and Environment",1451573358,"https://biocache.ala.org.au/occurrences/41168a4f-a0d0-499b-9824-1d6befc0b190","PRESERVED_SPECIMEN",1998,2,5,"1998-02-05","WGS84"
"399",1954,"Eichhornia crassipes",151.444742,-33.299834,"cdround","AUS","PRESENT",100,"NSW Dept of Planning, Industry and Environment",1074886821,"https://biocache.ala.org.au/occurrences/1fa0f62c-fbb3-4163-a64c-9613fb9a614d","HUMAN_OBSERVATION",1998,3,7,"1998-03-07","WGS84"
"400",1955,"Eichhornia crassipes",-95.216239,38.929383,"ambcol","USA","PRESENT",143,"KU",2857034306,NA,"PRESERVED_SPECIMEN",1998,9,9,"1998-09-09","WGS84"
"401",2463230,"Eichhornia crassipes",-93.1577,34.06895,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,1,1,"01-01-99","WGS84"
"402",2463231,"Eichhornia crassipes",-91.98715,34.24379,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,1,1,"01-01-99","WGS84"
"403",2463232,"Eichhornia crassipes",-93.08445,35.33048,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,1,1,"01-01-99","WGS84"
"404",2463233,"Eichhornia crassipes",-92.1981,34.73,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,1,1,"01-01-99","WGS84"
"405",2466554,"Eichhornia crassipes",-96.54785,28.28503,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,1,1,"01-01-99","WGS84"
"406",2467034,"Eichhornia crassipes",-75.7165,39.55594,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,1,1,"01-01-99","WGS84"
"407",2467250,"Eichhornia crassipes",-90.38774,36.72385,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,1,1,"01-01-99","WGS84"
"408",2467251,"Eichhornia crassipes",-90.37848,38.65415,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,1,1,"01-01-99","WGS84"
"409",2467570,"Eichhornia crassipes",-97.05969,33.13464,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,1,1,"01-01-99","WGS84"
"410",2467571,"Eichhornia crassipes",-97.26583,32.76383,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,1,1,"01-01-99","WGS84"
"411",2468308,"Eichhornia crassipes",-96.48193,28.30438,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,1,1,"01-01-99","WGS84"
"412",3445666,"Eichhornia crassipes",-91.82,17.78,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,1,20,"01-20-99","WGS84"
"413",87872,"Eichhornia crassipes",-82.58405,28.80074,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,5,1,"05-01-99","WGS84"
"414",88078,"Eichhornia crassipes",-80.10506,26.14665,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,5,1,"05-01-99","WGS84"
"415",88095,"Eichhornia crassipes",-81.37457,29.13994,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,5,1,"05-01-99","WGS84"
"416",88219,"Eichhornia crassipes",-82.02356,29.20419,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,5,1,"05-01-99","WGS84"
"417",3735559,"Eichhornia crassipes",-92,17.73,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,5,24,"05-24-99","WGS84"
"418",2467035,"Eichhornia crassipes",-75.55778,38.69971,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,7,1,"07-01-99","WGS84"
"419",2467036,"Eichhornia crassipes",-75.0746,38.69288,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,7,1,"07-01-99","WGS84"
"420",2061903,"Eichhornia crassipes",-72.8002,41.2777,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,8,12,"08-12-99","WGS84"
"421",2470460,"Eichhornia crassipes",-96.18638,38.39307,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,9,10,"09-10-99","WGS84"
"422",2469002,"Eichhornia crassipes",-120.416,36.833,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,9,17,"09-17-99","WGS84"
"423",9145714,"Eichhornia crassipes",-120.464,36.8865,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,9,17,"09-17-99","WGS84"
"424",3813144,"Eichhornia crassipes",-99.95,18.95,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,11,4,"11-04-99","WGS84"
"425",3813146,"Eichhornia crassipes",-99.55,18.95,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,11,4,"11-04-99","WGS84"
"426",3869948,"Eichhornia crassipes",-102.21,19.9,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1999,11,13,"11-13-99","WGS84"
"427",1949,"Eichhornia crassipes",151.647095,-32.8179,"cdround","AUS","PRESENT",100,"NSW Dept of Planning, Industry and Environment",1073157807,"https://biocache.ala.org.au/occurrences/44c51ca5-7406-43e1-9869-cd5f55b4ade3","HUMAN_OBSERVATION",1999,3,30,"1999-03-30","WGS84"
"428",1951,"Eichhornia crassipes",151.75102,-32.719131,"cdround","AUS","PRESENT",100,"NSW Dept of Planning, Industry and Environment",1073161468,"https://biocache.ala.org.au/occurrences/a974a516-9d7d-4534-bcdf-b8baad607731","HUMAN_OBSERVATION",1999,4,8,"1999-04-08","WGS84"
"429",2463564,"Eichhornia crassipes",-81.64259,30.00242,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,1,1,"01-01-00","WGS84"
"430",2480669,"Eichhornia crassipes",-86.28255,39.26789,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,1,1,"01-01-00","WGS84"
"431",2480670,"Eichhornia crassipes",-86.17127,38.30934,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,1,1,"01-01-00","WGS84"
"432",2480671,"Eichhornia crassipes",-87.06116,38.08269,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,1,1,"01-01-00","WGS84"
"433",2480672,"Eichhornia crassipes",-85.14404,39.96028,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,1,1,"01-01-00","WGS84"
"434",2480673,"Eichhornia crassipes",-85.04523,39.10533,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,1,1,"01-01-00","WGS84"
"435",3813148,"Eichhornia crassipes",-99.41,18.6,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,1,5,"01-05-00","WGS84"
"436",86973,"Eichhornia crassipes",-81.48636,27.82925,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,5,9,"05-09-00","WGS84"
"437",87087,"Eichhornia crassipes",-81.80813,28.60179,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,5,21,"05-21-00","WGS84"
"438",88503,"Eichhornia crassipes",-81.36836,27.94078,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,5,24,"05-24-00","WGS84"
"439",88514,"Eichhornia crassipes",-81.44806,27.97615,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,5,24,"05-24-00","WGS84"
"440",2470768,"Eichhornia crassipes",-87.9916,42.39072,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,8,1,"08-01-00","WGS84"
"441",3813160,"Eichhornia crassipes",-99.68,18.75,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,8,7,"08-07-00","WGS84"
"442",3813161,"Eichhornia crassipes",-99.66,18.72,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,8,7,"08-07-00","WGS84"
"443",3813162,"Eichhornia crassipes",-99.74,18.85,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,8,7,"08-07-00","WGS84"
"444",3869943,"Eichhornia crassipes",-101.78,19.82,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,8,10,"08-10-00","WGS84"
"445",3735657,"Eichhornia crassipes",-100.87,19.82,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,8,11,"08-11-00","WGS84"
"446",87806,"Eichhornia crassipes",-82.43643,29.03219,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,8,30,"08-30-00","WGS84"
"447",3806296,"Eichhornia crassipes",-102.19,17.95,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,8,30,"08-30-00","WGS84"
"448",3806297,"Eichhornia crassipes",-97.85,22.2,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,9,20,"09-20-00","WGS84"
"449",2470480,"Eichhornia crassipes",-117.07,34.2123,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,10,1,"10-01-00","WGS84"
"450",2479718,"Eichhornia crassipes",-86.07067,31.43584,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,10,7,"10-07-00","WGS84"
"451",2479720,"Eichhornia crassipes",-86.57718,32.52328,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,11,11,"11-11-00","WGS84"
"452",87191,"Eichhornia crassipes",-81.38538,28.07779,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,2000,12,1,"12-01-00","WGS84"
"453",1946,"Eichhornia crassipes",151.484188,-33.257067,"cdround","AUS","PRESENT",1000,"NSW Dept of Planning, Industry and Environment",1069727462,"https://biocache.ala.org.au/occurrences/58786d88-be29-4ae2-ae0c-307d68d932c0","HUMAN_OBSERVATION",2000,3,29,"2000-03-29","WGS84"
"454",1947,"Eichhornia crassipes",-104.911323,38.666237,"cdround,ambinst,incomis","USA","PRESENT",1000,"COLO",2573429727,"https://botanydb.colorado.edu:443/collections/individual/index.php?occid=23145","PRESERVED_SPECIMEN",2000,8,31,"2000-08-31","WGS84"
"455",1948,"Eichhornia crassipes",12.550177,55.797878,"cdround,colmano,inmano","DNK","PRESENT",1000,"DBF-NHMD",1342409036,NA,"PRESERVED_SPECIMEN",2000,10,22,"2000-10-22","WGS84"
