"","field_1","species","decimallon","decimallat","issues","countryCod","individual","occurrence","coordinate","institutio","gbifID","references","basisOfRec","year","month","day","eventDate","geodeticDa"
"29",13008,"Pilosella officinarum",10.15852,56.445741,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342557300,NA,"HUMAN_OBSERVATION",2000,5,6,"00:00.0","WGS84"
"30",13009,"Pilosella officinarum",10.808785,56.473912,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342557638,NA,"HUMAN_OBSERVATION",2000,5,15,"00:00.0","WGS84"
"31",13010,"Pilosella officinarum",11.534092,55.903969,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342557806,NA,"HUMAN_OBSERVATION",2000,5,15,"00:00.0","WGS84"
"32",13013,"Pilosella officinarum",14.08729,57.692025,"cdround,gass84","SWE",NA,"PRESENT",50,"F<U+FFFD>reningen Sm<U+FFFD>lands flora",2246343302,NA,"HUMAN_OBSERVATION",2000,5,20,"00:00.0","WGS84"
"33",13016,"Pilosella officinarum",15.37472,49.19389,"colmano,inmafu","CZE",NA,"PRESENT",200,"BRNU",2382519000,NA,"PRESERVED_SPECIMEN",2000,5,18,"00:00.0","WGS84"
"34",13017,"Pilosella officinarum",16.01778,49.46583,"colmano,inmafu","CZE",NA,"PRESENT",200,"BRNU",2382519473,NA,"PRESERVED_SPECIMEN",2000,5,15,"00:00.0","WGS84"
"35",13018,"Pilosella officinarum",15.89639,49.5675,"colmano,inmafu","CZE",NA,"PRESENT",300,"BRNU",2382527145,NA,"PRESERVED_SPECIMEN",2000,5,27,"00:00.0","WGS84"
"36",13019,"Pilosella officinarum",16.00417,49.16278,"colmano,inmafu","CZE",NA,"PRESENT",200,"BRNU",2454603241,NA,"PRESERVED_SPECIMEN",2000,5,24,"00:00.0","WGS84"
"37",13020,"Pilosella officinarum",16.53861,49.16167,"colmano,inmafu","CZE",NA,"PRESENT",100,"BRNU",2454898473,NA,"PRESERVED_SPECIMEN",2000,5,19,"00:00.0","WGS84"
"38",13021,"Pilosella officinarum",11.536695,58.254164,"gass84","SWE",NA,"PRESENT",100,"ArtDatabanken",2983797365,NA,"HUMAN_OBSERVATION",2000,5,28,"00:00.0","WGS84"
"39",13022,"Pilosella officinarum",11.684486,58.342614,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",2993838863,NA,"HUMAN_OBSERVATION",2000,5,26,"00:00.0","WGS84"
"40",13024,"Pilosella officinarum",11.474289,58.741259,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",2993987643,NA,"HUMAN_OBSERVATION",2000,5,9,"00:00.0","WGS84"
"41",13025,"Pilosella officinarum",11.62234,58.648902,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",2993996854,NA,"HUMAN_OBSERVATION",2000,5,14,"00:00.0","WGS84"
"42",13026,"Pilosella officinarum",11.809405,58.339841,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",2994014794,NA,"HUMAN_OBSERVATION",2000,5,21,"00:00.0","WGS84"
"43",13027,"Pilosella officinarum",11.961221,57.94268,"gass84","SWE",NA,"PRESENT",100,"ArtDatabanken",2994142748,NA,"HUMAN_OBSERVATION",2000,5,31,"00:00.0","WGS84"
"44",13028,"Pilosella officinarum",11.696047,57.994232,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",2994150851,NA,"HUMAN_OBSERVATION",2000,5,16,"00:00.0","WGS84"
"45",13029,"Pilosella officinarum",11.787954,58.771028,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",2994163522,NA,"HUMAN_OBSERVATION",2000,5,20,"00:00.0","WGS84"
"46",13030,"Pilosella officinarum",11.983921,58.395054,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",2994269543,NA,"HUMAN_OBSERVATION",2000,5,21,"00:00.0","WGS84"
"47",13031,"Pilosella officinarum",11.55282,58.523021,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3000527712,NA,"HUMAN_OBSERVATION",2000,5,8,"00:00.0","WGS84"
"48",13032,"Pilosella officinarum",11.35775,58.626171,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3000551387,NA,"HUMAN_OBSERVATION",2000,5,25,"00:00.0","WGS84"
"49",13033,"Pilosella officinarum",11.371459,58.595538,"cdround,gass84","SWE",NA,"PRESENT",100,"ArtDatabanken",3000575709,NA,"HUMAN_OBSERVATION",2000,5,12,"00:00.0","WGS84"
"50",13034,"Pilosella officinarum",11.952705,58.245116,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3000756367,NA,"HUMAN_OBSERVATION",2000,5,22,"00:00.0","WGS84"
"51",13035,"Pilosella officinarum",11.555649,58.659837,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3000912544,NA,"HUMAN_OBSERVATION",2000,5,8,"00:00.0","WGS84"
"52",13036,"Pilosella officinarum",11.663061,58.650131,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3000929689,NA,"HUMAN_OBSERVATION",2000,5,14,"00:00.0","WGS84"
"53",13037,"Pilosella officinarum",11.930076,58.243168,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3049339978,NA,"HUMAN_OBSERVATION",2000,5,22,"00:00.0","WGS84"
"54",13039,"Pilosella officinarum",12.003388,58.409744,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3049406970,NA,"HUMAN_OBSERVATION",2000,5,21,"00:00.0","WGS84"
"55",13040,"Pilosella officinarum",11.236774,58.652309,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3049485727,NA,"HUMAN_OBSERVATION",2000,5,7,"00:00.0","WGS84"
"56",13041,"Pilosella officinarum",11.518064,58.663892,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3049487427,NA,"HUMAN_OBSERVATION",2000,5,8,"00:00.0","WGS84"
"57",13042,"Pilosella officinarum",12.014105,58.411951,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3049510003,NA,"HUMAN_OBSERVATION",2000,5,21,"00:00.0","WGS84"
"58",13043,"Pilosella officinarum",11.842499,57.839262,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3049574026,NA,"HUMAN_OBSERVATION",2000,5,23,"00:00.0","WGS84"
"59",13044,"Pilosella officinarum",11.763636,58.339568,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3049625014,NA,"HUMAN_OBSERVATION",2000,5,21,"00:00.0","WGS84"
"60",13045,"Pilosella officinarum",11.772853,58.661084,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3049697088,NA,"HUMAN_OBSERVATION",2000,5,26,"00:00.0","WGS84"
"61",13046,"Pilosella officinarum",11.904762,58.234671,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3049839037,NA,"HUMAN_OBSERVATION",2000,5,10,"00:00.0","WGS84"
"62",13047,"Pilosella officinarum",11.413769,58.617939,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3049857431,NA,"HUMAN_OBSERVATION",2000,5,12,"00:00.0","WGS84"
"63",13048,"Pilosella officinarum",12.036949,58.419366,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3049864845,NA,"HUMAN_OBSERVATION",2000,5,21,"00:00.0","WGS84"
"64",13049,"Pilosella officinarum",11.844027,58.024462,"gass84","SWE",NA,"PRESENT",100,"ArtDatabanken",3049930700,NA,"HUMAN_OBSERVATION",2000,5,7,"00:00.0","WGS84"
"65",13050,"Pilosella officinarum",11.530982,58.679516,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3049931088,NA,"HUMAN_OBSERVATION",2000,5,20,"00:00.0","WGS84"
"66",13051,"Pilosella officinarum",11.972468,57.932327,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3050043765,NA,"HUMAN_OBSERVATION",2000,5,1,"00:00.0","WGS84"
"67",13052,"Pilosella officinarum",11.332795,58.812743,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3050119158,NA,"HUMAN_OBSERVATION",2000,5,11,"00:00.0","WGS84"
"68",13055,"Pilosella officinarum",11.306133,58.804536,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3050467114,NA,"HUMAN_OBSERVATION",2000,5,4,"00:00.0","WGS84"
"69",13056,"Pilosella officinarum",11.458074,58.462493,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3050498601,NA,"HUMAN_OBSERVATION",2000,5,25,"00:00.0","WGS84"
"70",13057,"Pilosella officinarum",11.644457,58.334126,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3050505046,NA,"HUMAN_OBSERVATION",2000,5,11,"00:00.0","WGS84"
"71",13059,"Pilosella officinarum",11.466977,58.277609,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3077925380,NA,"HUMAN_OBSERVATION",2000,5,7,"00:00.0","WGS84"
"72",13060,"Pilosella officinarum",11.812289,58.749048,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3078062393,NA,"HUMAN_OBSERVATION",2000,5,20,"00:00.0","WGS84"
"73",13061,"Pilosella officinarum",11.234475,58.659328,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3078433407,NA,"HUMAN_OBSERVATION",2000,5,7,"00:00.0","WGS84"
"74",13062,"Pilosella officinarum",11.793793,58.759434,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3078526349,NA,"HUMAN_OBSERVATION",2000,5,20,"00:00.0","WGS84"
"75",13063,"Pilosella officinarum",11.44389,58.562963,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3078705356,NA,"HUMAN_OBSERVATION",2000,5,3,"00:00.0","WGS84"
"76",13065,"Pilosella officinarum",7.393194,59.290448,"elmms,gass84,colmano,inmafu","NOR",NA,"PRESENT",500,"KMN",186907731,NA,"HUMAN_OBSERVATION",2000,6,8,"00:00.0","WGS84"
"77",13066,"Pilosella officinarum",7.436761,59.488577,"gass84,colmano,inmafu","NOR",NA,"PRESENT",500,"KMN",186907733,NA,"HUMAN_OBSERVATION",2000,6,11,"00:00.0","WGS84"
"78",13067,"Pilosella officinarum",7.590415,58.315924,"elmms,gass84,colmano,inmafu","NOR",NA,"PRESENT",50,"KMN",186907756,NA,"HUMAN_OBSERVATION",2000,6,24,"00:00.0","WGS84"
"79",13068,"Pilosella officinarum",7.615386,58.354375,"gass84,colmano,inmafu","NOR",NA,"PRESENT",1000,"KMN",186907758,NA,"HUMAN_OBSERVATION",2000,6,24,"00:00.0","WGS84"
"80",13069,"Pilosella officinarum",6.823822,58.302933,"gass84,colmano,inmafu","NOR",NA,"PRESENT",500,"KMN",186907799,NA,"HUMAN_OBSERVATION",2000,6,2,"00:00.0","WGS84"
"81",13070,"Pilosella officinarum",7.711461,58.296998,"elmms,gass84,colmano,inmafu","NOR",NA,"PRESENT",500,"KMN",186907800,NA,"HUMAN_OBSERVATION",2000,6,25,"00:00.0","WGS84"
"82",13071,"Pilosella officinarum",7.495078,58.770714,"gass84,colmano,inmafu","NOR",NA,"PRESENT",1000,"KMN",186907940,NA,"HUMAN_OBSERVATION",2000,6,27,"00:00.0","WGS84"
"83",13072,"Pilosella officinarum",7.461001,58.563709,"gass84,colmano,inmafu","NOR",NA,"PRESENT",500,"KMN",186907943,NA,"HUMAN_OBSERVATION",2000,6,29,"00:00.0","WGS84"
"84",13074,"Pilosella officinarum",9.402409,59.919369,"gass84,colmano,inmafu","NOR",NA,"PRESENT",707,"O",191264381,NA,"HUMAN_OBSERVATION",2000,6,11,"00:00.0","WGS84"
"85",13075,"Pilosella officinarum",9.443313,58.95836,"gass84,colmano,inmafu","NOR",NA,"PRESENT",707,"O",191264848,NA,"HUMAN_OBSERVATION",2000,6,23,"00:00.0","WGS84"
"86",13076,"Pilosella officinarum",15.29989,57.880643,"cdround,gass84","SWE",NA,"PRESENT",10,"ArtDatabanken",849488900,NA,"HUMAN_OBSERVATION",2000,6,17,"00:00.0","WGS84"
"87",13077,"Pilosella officinarum",4.84751,51.12414,"refuriiv","BEL",NA,"PRESENT",700,"INBO",869821275,NA,"HUMAN_OBSERVATION",2000,6,1,"00:00.0","WGS84"
"88",13078,"Pilosella officinarum",4.82142,51.37593,"refuriiv","BEL",NA,"PRESENT",700,"INBO",869822085,NA,"HUMAN_OBSERVATION",2000,6,1,"00:00.0","WGS84"
"89",13080,"Pilosella officinarum",4.87637,51.15099,"refuriiv","BEL",NA,"PRESENT",700,"INBO",869824578,NA,"HUMAN_OBSERVATION",2000,6,1,"00:00.0","WGS84"
"90",13082,"Pilosella officinarum",4.87333,50.87233,"refuriiv","BEL",NA,"PRESENT",700,"INBO",869824621,NA,"HUMAN_OBSERVATION",2000,6,1,"00:00.0","WGS84"
"91",13083,"Pilosella officinarum",-1.57,41.71,"gass84,osiic,colmafu,inmafu","ESP",1,"PRESENT",707,"VAL",895250712,NA,"PRESERVED_SPECIMEN",2000,6,3,"00:00.0","WGS84"
"92",13084,"Pilosella officinarum",6.820312,62.805506,"elmms,gass84,colmano,inmano","NOR",NA,"PRESENT",30,"JBJordal",1041990682,NA,"HUMAN_OBSERVATION",2000,6,28,"00:00.0","WGS84"
"93",13085,"Pilosella officinarum",9.179138,55.139177,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342556705,NA,"HUMAN_OBSERVATION",2000,6,25,"00:00.0","WGS84"
"94",13086,"Pilosella officinarum",9.172127,57.133792,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342556747,NA,"HUMAN_OBSERVATION",2000,6,27,"00:00.0","WGS84"
"95",13087,"Pilosella officinarum",9.689323,55.61362,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342556989,NA,"HUMAN_OBSERVATION",2000,6,21,"00:00.0","WGS84"
"96",13088,"Pilosella officinarum",11.382569,55.781163,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342557747,NA,"HUMAN_OBSERVATION",2000,6,9,"00:00.0","WGS84"
"97",13089,"Pilosella officinarum",11.682019,55.496333,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342557827,NA,"HUMAN_OBSERVATION",2000,6,25,"00:00.0","WGS84"
"98",13090,"Pilosella officinarum",11.591421,55.803902,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342557831,NA,"HUMAN_OBSERVATION",2000,6,12,"00:00.0","WGS84"
"99",13091,"Pilosella officinarum",11.647986,55.461118,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342557839,NA,"HUMAN_OBSERVATION",2000,6,5,"00:00.0","WGS84"
"100",13092,"Pilosella officinarum",11.691828,55.639944,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342557845,NA,"HUMAN_OBSERVATION",2000,6,10,"00:00.0","WGS84"
"101",13093,"Pilosella officinarum",12.164264,55.61878,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342558027,NA,"HUMAN_OBSERVATION",2000,6,9,"00:00.0","WGS84"
"102",13094,"Pilosella officinarum",12.415556,55.902983,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342558134,NA,"HUMAN_OBSERVATION",2000,6,9,"00:00.0","WGS84"
"103",13095,"Pilosella officinarum",8.00763,62.26111,"colmano,inmano","NOR",NA,"PRESENT",100,"JBJordal",1562829944,NA,"HUMAN_OBSERVATION",2000,6,21,"00:00.0","WGS84"
"104",13096,"Pilosella officinarum",31.883333,55.7,"cdround,diffown","RUS",NA,"PRESENT",900,"Moscow State University",1697705853,"https://plant.depo.msu.ru/open/public/item/MW0558174","PRESERVED_SPECIMEN",2000,6,4,"00:00.0","WGS84"
"105",13097,"Pilosella officinarum",7.8839,62.9899,"gass84,incomis,inmafu","NOR",NA,"PRESENT",71,"TRH",1698019752,NA,"PRESERVED_SPECIMEN",2000,6,2,"00:00.0","WGS84"
"106",13098,"Pilosella officinarum",11.3215,59.5763,"incomis,inmafu","NOR",NA,"PRESENT",100,"O",1701838742,NA,"PRESERVED_SPECIMEN",2000,6,27,"00:00.0","WGS84"
"107",13099,"Pilosella officinarum",7.596986,52.060375,"cdround,gass84,colmano,inmano","DEU",NA,"PRESENT",250,"naturgucker",1808168281,NA,"HUMAN_OBSERVATION",2000,6,30,"00:00.0","WGS84"
"108",13100,"Pilosella officinarum",7.71346,51.970528,"cdround,gass84,colmano,inmano","DEU",NA,"PRESENT",250,"naturgucker",1808182059,NA,"HUMAN_OBSERVATION",2000,6,30,"00:00.0","WGS84"
"109",13101,"Pilosella officinarum",7.553309,52.024437,"cdround,gass84,colmano,inmano","DEU",NA,"PRESENT",250,"naturgucker",1808209105,NA,"HUMAN_OBSERVATION",2000,6,30,"00:00.0","WGS84"
"110",13102,"Pilosella officinarum",15.85361,49.56556,"colmano,inmafu","CZE",NA,"PRESENT",300,"BRNU",2382527242,NA,"PRESERVED_SPECIMEN",2000,6,24,"00:00.0","WGS84"
"111",13103,"Pilosella officinarum",9.676589,63.698097,"cdround,gass84","NOR",NA,"PRESENT",100,"nbf",2402284105,NA,"HUMAN_OBSERVATION",2000,6,19,"00:00.0","WGS84"
"112",13104,"Pilosella officinarum",14.92083,49.03306,"colmano,inmafu","CZE",NA,"PRESENT",100,"BRNU",2454898421,NA,"PRESERVED_SPECIMEN",2000,6,3,"00:00.0","WGS84"
"113",13105,"Pilosella officinarum",11.91034,57.807215,"cdround,gass84","SWE",NA,"PRESENT",100,"ArtDatabanken",2619184204,NA,"HUMAN_OBSERVATION",2000,6,4,"00:00.0","WGS84"
"114",13106,"Pilosella officinarum",11.469339,58.242989,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",2983733366,NA,"HUMAN_OBSERVATION",2000,6,11,"00:00.0","WGS84"
"115",13107,"Pilosella officinarum",12.145232,58.390968,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",2993862645,NA,"HUMAN_OBSERVATION",2000,6,2,"00:00.0","WGS84"
"116",13108,"Pilosella officinarum",11.280873,58.611525,"gass84","SWE",NA,"PRESENT",100,"ArtDatabanken",2993958683,NA,"HUMAN_OBSERVATION",2000,6,11,"00:00.0","WGS84"
"117",13109,"Pilosella officinarum",11.762486,58.271945,"gass84","SWE",NA,"PRESENT",100,"ArtDatabanken",2993973714,NA,"HUMAN_OBSERVATION",2000,6,4,"00:00.0","WGS84"
"118",13112,"Pilosella officinarum",11.910241,57.898525,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",2994134834,NA,"HUMAN_OBSERVATION",2000,6,2,"00:00.0","WGS84"
"119",13113,"Pilosella officinarum",11.580389,58.680608,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",2994150647,NA,"HUMAN_OBSERVATION",2000,6,25,"00:00.0","WGS84"
"120",13114,"Pilosella officinarum",12.196094,58.253398,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",2994162456,NA,"HUMAN_OBSERVATION",2000,6,18,"00:00.0","WGS84"
"121",13115,"Pilosella officinarum",12.058131,57.937134,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",2994210858,NA,"HUMAN_OBSERVATION",2000,6,1,"00:00.0","WGS84"
"122",13116,"Pilosella officinarum",12.039787,58.150478,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",2994328308,NA,"HUMAN_OBSERVATION",2000,6,7,"00:00.0","WGS84"
