,water,Longitude,Latitude
1,37.25095406,-81.184303,28.727312
2,54.73986335,-102.432153,21.915147
3,23.50557915,-102.789917,21.807238
4,0.054692063,-81.404025,28.355954
5,4.641057737,-90.190338,29.697467
6,22.72230885,-98.230444,19.277546
7,0.729833039,-95.550025,18.658742
8,56.65653664,-87.918245,30.514895
9,38.99617478,-104.68135,21.272479
10,10.91216953,-95.969038,18.984237
11,20.26230675,-81.644122,28.796402
12,0.057164376,-82.534322,27.270815
13,1.862905735,-80.651491,27.662775
14,14.27950617,-91.516922,31.607592
15,23.94593854,-99.468877,18.292761
16,14.37332706,-96.569451,29.022229
17,1.668154163,-96.57146,28.914135
18,40.15358522,-80.832378,27.193815
19,35.96077846,-104.089155,20.799921
20,7.183546868,-95.072063,29.574497
21,39.48060345,-85.141164,31.991251
22,29.81985036,-82.702988,28.086722
23,56.48412095,-99.764832,16.779719
24,0.008992776,-91.362475,34.025598
25,48.88354754,-85.043419,32.09194
26,8.778379415,-96.336822,29.584182
27,3.364885598,-82.28003,29.566837
28,2.407113328,-98.403909,19.855288
29,7.453025594,-104.693381,19.221166
30,6.136484249,-80.465562,33.575088
31,21.18972224,-99.102912,19.282758
32,55.4680173,-86.571091,33.028682
33,47.26583705,-82.342043,27.483352
34,25.92574437,-96.832462,28.502729
35,5.554635853,-82.650769,27.72951
36,26.82570318,-82.045637,29.650668
37,49.6718429,-76.359128,39.352603
38,36.22417094,-95.62289,30.531454
39,1.700852573,-80.700317,27.823898
40,13.21756504,-80.729822,43.156575
41,38.2764203,-95.611108,30.515638
42,70.3483713,-95.601192,30.495619
43,2.022058383,-80.162033,33.284937
44,68.85555088,-98.400292,30.568775
45,24.98080077,-82.738058,28.133799
46,59.2435182,-109.683218,23.048834
47,23.5179332,-81.310024,28.644791
48,9.973205934,-95.062522,18.363445
49,12.80063811,-80.067512,33.3942
50,28.36728097,-82.25077,29.6322
51,36.25759371,-101.570127,19.63268
52,34.7994025,-82.318159,29.568967
53,5.540801785,-95.700347,32.370772
54,7.458168809,-82.002831,33.510583
55,57.73478547,-84.916855,30.740112
56,0.232368173,-81.681783,28.872999
57,89.21012451,-93.204839,35.292193
58,7.0799682,-94.111022,32.698028
59,65.73560668,-80.718588,27.822722
60,39.7702768,-90.935424,30.14134
61,96.86909529,-93.272571,35.300691
62,12.26353205,-81.746112,28.036993
63,26.9490728,-101.617253,19.544367
64,2.649218884,-81.601003,27.825936
65,1.518706085,-100.205906,16.993197
66,1.81823468,-74.175939,40.529676
67,42.9629888,-97.161599,27.685774
68,1.214279931,-89.876161,30.053071
69,31.57533171,-97.958035,26.410776
70,25.88496778,-94.455999,18.107856
71,23.29768386,-96.841678,28.49792
72,100,-81.030004,26.946702
73,18.10090105,-96.549412,29.02525
74,45.64013322,-95.961995,15.82697
75,39.90321461,-97.947552,22.381361
76,15.54403134,-90.009948,29.978628
