field_1,fid,SciName,decimallon,decimallat,issues,countryCod,occurrence,coordinate,institutio,references,basisOfRec,year,month,day,eventDate,geodeticDa
50,4822590,Geranium lucidum,-122.85558,48.65731,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2001,1,15,1/15/2001,WGS84
52,4823152,Geranium lucidum,-122.2739,47.69706,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2001,1,15,1/15/2001,WGS84
53,4823246,Geranium lucidum,-122.47727,48.48973,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2009,4,13,4/13/2009,WGS84
54,7822909,Geranium lucidum,-122.5017,45.63324,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2018,10,30,10/30/2018,WGS84
55,8166922,Geranium lucidum,-122.0618,45.0841,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2016,6,22,6/22/2019,WGS84
56,8374079,Geranium lucidum,-122.474,44.9705,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2009,8,12,8/12/2009,WGS84
57,8375292,Geranium lucidum,-122.463,44.7989,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2003,6,12,6/12/2003,WGS84
58,8375982,Geranium lucidum,-122.66,44.6031,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,10,23,10/23/2012,WGS84
59,8376415,Geranium lucidum,-123.484,45.2602,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2004,12,12,12/12/2004,WGS84
60,8376425,Geranium lucidum,-123.466,45.2369,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2003,6,12,6/12/2003,WGS84
61,8376451,Geranium lucidum,-123.493,45.2247,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2003,6,12,6/12/2003,WGS84
62,8376454,Geranium lucidum,-123.468,45.2669,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2004,12,12,12/12/2004,WGS84
63,8376455,Geranium lucidum,-123.466,45.27,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2004,12,12,12/12/2004,WGS84
64,8376459,Geranium lucidum,-123.476,45.2656,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2004,12,12,12/12/2004,WGS84
65,8376535,Geranium lucidum,-123.449,44.1805,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,9,14,9/14/2012,WGS84
66,8378777,Geranium lucidum,-123.355,45.3779,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,3,21,3/21/2012,WGS84
67,8378798,Geranium lucidum,-123.512,45.1873,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2003,2,12,2/12/2003,WGS84
68,8378801,Geranium lucidum,-123.433,45.1774,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2003,12,12,12/12/2003,WGS84
69,8378809,Geranium lucidum,-123.461,45.1925,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2003,12,12,12/12/2003,WGS84
70,8378830,Geranium lucidum,-123.494,45.2052,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2003,2,12,2/12/2003,WGS84
71,8378848,Geranium lucidum,-123.378,45.3447,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2003,10,12,10/12/2003,WGS84
72,8378854,Geranium lucidum,-123.316,45.3898,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,3,30,3/30/2012,WGS84
73,8378868,Geranium lucidum,-123.321,45.3985,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,3,30,3/30/2012,WGS84
74,8378900,Geranium lucidum,-123.381,45.3708,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,3,16,3/16/2012,WGS84
75,8378907,Geranium lucidum,-123.331,45.4027,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,3,26,3/26/2012,WGS84
76,8378909,Geranium lucidum,-123.304,45.4157,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,3,30,3/30/2012,WGS84
77,8378915,Geranium lucidum,-123.339,45.3917,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,3,26,3/26/2012,WGS84
78,8378934,Geranium lucidum,-123.362,45.3968,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,3,24,3/24/2012,WGS84
79,8378968,Geranium lucidum,-123.358,45.3819,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,3,21,3/21/2012,WGS84
80,8378974,Geranium lucidum,-123.378,45.3713,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,3,13,3/16/2012,WGS84
81,8378996,Geranium lucidum,-123.426,45.3874,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,3,19,3/19/2012,WGS84
82,8379002,Geranium lucidum,-123.376,45.3928,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,3,21,3/21/2012,WGS84
83,8379228,Geranium lucidum,-122.484,44.9821,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2009,8,12,8/12/2009,WGS84
84,8379346,Geranium lucidum,-122.492,45.0159,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,11,21,11/21/2012,WGS84
85,8379388,Geranium lucidum,-122.49,45.0438,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,10,23,10/23/2012,WGS84
86,8379914,Geranium lucidum,-122.443,44.9631,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,9,13,9/13/2012,WGS84
87,8380116,Geranium lucidum,-122.489,45.0666,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,10,23,10/23/2012,WGS84
88,8380154,Geranium lucidum,-122.485,45.0211,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,10,23,10/23/2012,WGS84
89,8380370,Geranium lucidum,-122.486,45.0336,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,10,23,10/23/2012,WGS84
90,8380403,Geranium lucidum,-122.494,45.0613,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,10,23,10/23/2012,WGS84
91,8380433,Geranium lucidum,-122.491,45.0558,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,10,23,10/23/2012,WGS84
92,8380490,Geranium lucidum,-122.483,45.0163,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,10,23,10/23/2012,WGS84
93,8383908,Geranium lucidum,-123.462,45.1879,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2003,12,12,12/12/2003,WGS84
94,8383913,Geranium lucidum,-123.354,45.3899,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,3,24,3/24/2012,WGS84
95,8383935,Geranium lucidum,-123.432,45.2711,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2004,11,12,11/12/2004,WGS84
96,8383968,Geranium lucidum,-123.485,45.2138,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2003,2,12,2/12/2003,WGS84
97,8383982,Geranium lucidum,-123.322,45.3927,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,3,30,3/30/2012,WGS84
98,8383998,Geranium lucidum,-123.306,45.3705,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2012,3,28,3/28/2012,WGS84
99,8384003,Geranium lucidum,-123.487,45.2076,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2003,2,12,2/12/2003,WGS84
100,8386030,Geranium lucidum,-123.539,45.2237,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2008,1,15,1/15/2008,WGS84
101,8386033,Geranium lucidum,-123.582,45.2727,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2008,1,15,1/15/2008,WGS84
102,8386041,Geranium lucidum,-123.592,45.2811,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2008,1,15,1/15/2008,WGS84
103,8386408,Geranium lucidum,-123.366,42.9947,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2017,6,27,6/27/2017,WGS84
104,8386439,Geranium lucidum,-123.394,43.0166,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2017,5,16,5/16/2017,WGS84
105,8386479,Geranium lucidum,-123.333,43.0119,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2017,6,28,6/28/2017,WGS84
106,8386483,Geranium lucidum,-123.356,43.0244,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2006,7,17,7/17/2006,WGS84
107,8386521,Geranium lucidum,-123.338,43.0075,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2017,6,28,6/28/2017,WGS84
108,8388834,Geranium lucidum,-123.374,45.2823,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2008,10,13,10/13/2008,WGS84
109,8388838,Geranium lucidum,-123.363,45.3052,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,7,21,7/21/2013,WGS84
110,8388853,Geranium lucidum,-123.364,45.3098,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,7,21,7/21/2013,WGS84
111,8388854,Geranium lucidum,-123.374,45.3097,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,7,21,7/21/2013,WGS84
112,8388868,Geranium lucidum,-123.353,45.3025,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2008,6,13,6/13/2008,WGS84
113,8388870,Geranium lucidum,-123.339,45.3122,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,7,17,7/17/2013,WGS84
114,8388885,Geranium lucidum,-123.295,45.2743,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,8,20,8/20/2013,WGS84
115,8388899,Geranium lucidum,-123.326,45.2845,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,8,28,8/28/2013,WGS84
116,8388931,Geranium lucidum,-123.324,45.3143,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,7,17,7/17/2013,WGS84
117,8388942,Geranium lucidum,-123.362,45.2844,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2008,10,13,10/13/2008,WGS84
118,8388950,Geranium lucidum,-123.347,45.303,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2008,6,13,6/13/2008,WGS84
119,8389002,Geranium lucidum,-123.331,45.2806,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,8,28,8/28/2013,WGS84
120,8389353,Geranium lucidum,-123.032,42.4555,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2017,4,18,4/18/2017,WGS84
121,8390415,Geranium lucidum,-123.582,44.3457,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2015,6,26,6/26/2015,WGS84
122,8391478,Geranium lucidum,-123.521,45.4589,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,11,27,11/27/2013,WGS84
123,8392798,Geranium lucidum,-122.899,43.2994,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,6,26,6/26/2013,WGS84
124,8393771,Geranium lucidum,-123.611,42.5612,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2017,11,25,11/25/2017,WGS84
125,8393786,Geranium lucidum,-123.584,42.5979,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2017,5,30,5/30/2017,WGS84
126,8393875,Geranium lucidum,-123.38,45.0108,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2016,9,23,9/23/2016,WGS84
127,8393919,Geranium lucidum,-123.342,45.2903,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2008,6,13,6/13/2008,WGS84
128,8393928,Geranium lucidum,-123.355,45.2934,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2008,6,13,6/13/2008,WGS84
129,8393938,Geranium lucidum,-123.553,45.2057,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2015,9,23,9/23/2015,WGS84
130,8393954,Geranium lucidum,-123.535,45.1947,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2011,8,13,8/13/2011,WGS84
131,8394067,Geranium lucidum,-123.578,44.3362,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2007,7,15,7/15/2007,WGS84
