"","Longitude","Latitude"
"199",-106.68523,44.86502
"200",-106.81211,44.57767
"201",-106.79417,44.57873
"202",-106.8069,44.56138
"203",-115.91962,48.49398
"204",-111.86229,41.55914
"205",-116.955,45.4778
"206",-116.931,45.4808
"207",-117.596,45.6767
"208",-119.704,44.2291
"209",-119.894,44.2597
"210",-119.758,44.2414
"211",-119.811,44.2257
"212",-119.769,44.247
"213",-119.813,44.2437
"214",-119.929,44.2651
"215",-119.892,44.2694
"216",-119.918,44.2591
"217",-118.557,44.35
"218",-119.458,44.1986
"219",-119.392,44.1526
"220",-119.086,44.5603
"221",-118.485,44.4246
"222",-118.497,44.4279
"223",-118.511,44.4361
"224",-118.488,44.3632
"225",-118.544,44.3612
"226",-118.543,44.3856
"227",-118.533,44.4215
"228",-118.557,44.3831
"229",-120.233,42.29
"230",-119.748,44.3113
"231",-119.991,44.442
"232",-121.671,44.5744
"233",-115.32561,42.30318
"234",-119.21225,46.93148
"235",-119.27312,46.96759
"236",-121.37313,45.92424
"237",-119.36272,46.83913
"238",-115.55766,48.35924
"239",-115.52492,48.52784
"240",-115.35625,48.02895
"241",-115.37788,48.07599
"242",-115.38213,48.08843
"243",-111.82421,41.48271
"244",-111.53854,47.20397
"245",-120.809,40.1471
"246",-122.7,38.9167
"247",-111.91014,41.57801
"248",-112.33977,41.80718
"249",-115.55145,47.75972
"250",-115.75867,48.00615
"251",-115.84031,48.01946
"252",-116.02104,48.10376
"253",-116.00193,48.02608
"254",-115.86195,48.0211
"255",-115.71131,47.90927
"256",-115.6821,47.85039
"257",-115.74491,47.84953
"258",-115.82145,47.89358
"259",-111.22265,47.28019
"260",-112.28777,46.57656
"261",-107.13469,46.45761
"262",-112.24707,43.91628
"263",-115.48979,40.72011
"264",-111.25842,47.2977
"265",-115.49376,48.33642
"266",-111.30554,47.29588
"267",-111.8617,41.39473
"268",-111.86562,41.49251
"269",-114.07663,47.1563
"270",-116.31199,39.83359
"271",-112.43341,46.56192
"272",-110.13569,45.75587
"273",-120.505,41.1748
"274",-120.316,41.8924
"275",-115.48969,40.70892
"276",-105.52722,44.81993
"277",-121.30339,45.68714
"278",-105.47096,44.79299
"279",-114.2875,47.30329
"280",-112.41665,46.55737
"281",-112.2484,47.35187
"282",-115.97099,41.77398
"283",-110.8241,47.43091
"284",-114.11274,47.64996
"285",-116.40014,41.05272
"286",-106.02501,44.69348
"287",-105.90976,44.72238
"288",-106.47348,44.77704
"289",-105.28051,44.65595
"290",-111.23402,47.28669
"291",-112.25315,46.57813
"292",-112.26623,46.5878
"293",-112.3002,46.57296
"294",-115.56307,48.32547
"295",-120.79051,47.11491
"296",-106.81143,44.55042
"297",-115.29375,47.35425
"298",-109.54777,45.70301
"299",-111.93385,41.56389
"300",-112.35674,41.69867
"301",-112.2391,46.57401
"302",-115.00911,48.21955
"303",-115.25804,48.02829
"304",-115.0139,48.16609
"305",-115.10659,48.25574
"306",-115.03118,48.26062
"307",-114.98323,48.23924
"308",-115.08733,48.2486
"309",-114.97948,48.25605
"310",-115.05238,48.27926
"311",-111.61106,47.35123
