"","Longitude","Latitude"
"200",-103.43543,47.06092
"201",-103.52653,47.31672
"202",-111.57977,46.74787
"203",-113.21627,44.37028
"204",-113.55563,44.95871
"205",-114.22711,44.1083
"206",-106.14585,37.93708
"207",-110.86433,42.61259
"208",-110.67321,43.29933
"209",-105.98071,38.1028
"210",-113.95305,45.75341
"211",-113.86347,45.29673
"212",-113.73837,45.04958
"213",-113.34434,44.34394
"214",-113.89757,45.02555
"215",-113.86229,45.16803
"216",-106.74261,38.22437
"217",-114.21179,44.31561
"218",-113.17319,44.31116
"219",-113.64942,44.78563
"220",-113.56471,45.00892
"221",-112.74583,44.19957
"222",-114.24983,44.67994
"223",-114.07527,44.67731
"224",-114.93779,44.21458
"225",-113.99341,44.80478
"226",-103.46117,47.03016
"227",-103.49503,47.22679
"228",-103.46973,47.21859
"229",-107.86754,39.89551
"230",-106.40549,37.91973
"231",-106.29047,38.17434
"232",-105.66789,38.74973
"233",-111.23502,42.32884
"234",-111.64215,42.40315
"235",-106.36695,38.0961
"236",-106.65058,38.2347
"237",-111.11523,42.60129
"238",-111.46187,42.70234
"239",-111.45797,41.92086
"240",-107.44508,40.01985
"241",-106.68936,38.20074
"242",-112.97147,42.43489
"243",-106.12356,37.96472
"244",-105.42369,41.24804
"245",-114.10573,45.38207
"246",-110.85827,43.5941
"247",-113.35956,44.34943
"248",-113.25133,44.35739
"249",-113.23943,44.46197
"250",-113.15457,44.31746
"251",-103.50331,47.12126
"252",-109.8799,45.60193
"253",-113.60679,45.01346
"254",-103.6066,43.97671
"255",-114.06046,45.95229
"256",-103.79471,43.80285
"257",-105.85517,40.22245
"258",-106.63815,38.43959
"259",-113.2235,44.43161
"260",-113.68168,44.82131
"261",-113.91554,45.26776
"262",-113.96662,45.36352
"263",-113.33644,44.69386
"264",-112.76208,47.01751
"265",-113.07797,43.72748
"266",-110.5206,45.63044
"267",-103.6038,47.44982
"268",-113.53665,43.75989
"269",-114.76413,44.69807
"270",-113.80503,44.27994
"271",-113.6516,44.42028
"272",-106.1526,38.17027
"273",-114.35924,44.14911
"274",-106.23305,39.84452
"275",-113.89999,45.06573
"276",-103.74998,43.72339
"277",-103.77335,43.71169
"278",-103.72351,43.73196
"279",-103.70877,43.72451
"280",-106.43499,37.66403
"281",-113.62743,43.89727
"282",-113.2674,44.23025
"283",-109.41966,40.93989
"284",-114.03272,42.10176
"285",-106.68716,38.3838
"286",-110.57105,42.16069
"287",-111.53098,46.75528
"288",-114.07392,45.9537
"289",-106.30554,37.95177
"290",-113.97432,44.112
"291",-113.51965,44.97445
"292",-103.66881,46.93687
"293",-103.76744,43.76765
"294",-103.76984,43.75625
"295",-116.74938,47.6725
"296",-103.73586,43.75894
"297",-113.90882,45.1929
"298",-106.30043,38.24982
"299",-106.30176,38.26704
"300",-103.34972,47.15081
"301",-103.29447,47.13462
"302",-103.53872,47.26964
"303",-103.4595,47.04949
"304",-103.52719,46.84159
"305",-103.61891,47.32701
"306",-103.58149,47.27952
"307",-103.46942,47.02221
"308",-103.42978,47.07011
"309",-103.44226,47.02655
"310",-113.27078,44.7421
"311",-113.26994,44.75389
"312",-103.41471,47.08074
"313",-103.48092,47.07191
"314",-105.68816,33.90345
"315",-113.69995,44.80744
"316",-116.30705,45.60923
"317",-110.80065,43.28652
"318",-111.06109,43.17516
"319",-113.59878,45.46562
"320",-106.85032,38.66088
"321",-103.50962,47.52615
"322",-115.95401,41.82333
"323",-103.33538,47.00318
"324",-103.34755,46.97363
"325",-103.31174,47.02407
"326",-112.33967,42.44001
"327",-113.57882,44.98559
"328",-111.15094,40.11484
"329",-113.96955,44.81615
"330",-103.36946,47.04028
"331",-103.63158,47.2879
"332",-103.27121,47.12504
"333",-103.32959,47.13934
"334",-103.55805,46.70306
"335",-106.16208,38.16413
"336",-119.20357,48.58654
"337",-103.75418,43.80274
"338",-103.74269,43.79746
"339",-103.59552,43.6866
"340",-103.66485,47.32962
"341",-103.34358,47.10103
"342",-103.446,47.12108
"343",-103.49263,47.37247
"344",-103.74622,47.3533
"345",-106.30695,37.93348
"346",-103.61099,46.98137
"347",-116.316,45.68933
"348",-110.01471,45.67342
"349",-111.09336,42.42005
"350",-103.5551,47.19976
"351",-103.61762,47.23657
"352",-103.55342,47.27552
"353",-103.34597,47.01744
"354",-109.40478,41.45493
"355",-106.39336,38.2076
"356",-111.01866,43.18792
"357",-109.91764,45.0238
"358",-106.30368,38.10442
"359",-106.33025,38.21366
"360",-103.44671,47.03533
"361",-103.63013,47.11493
"362",-113.25936,44.81325
"363",-103.67037,46.95417
"364",-103.65512,46.9402
"365",-103.71437,47.2026
"366",-103.86324,43.726
"367",-103.69252,43.76422
"368",-110.64515,43.27253
"369",-111.48447,41.69039
"370",-113.89303,45.09782
"371",-113.71362,45.00249
"372",-106.00598,38.13823
"373",-105.99824,38.2132
"374",-106.20395,38.02685
"375",-106.38895,38.2243
"376",-106.17471,38.15763
"377",-106.21534,38.23111
"378",-109.55574,41.24258
"379",-114.22945,44.31693
"380",-111.96478,44.99091
"381",-111.37146,41.58945
"382",-106.3314,38.12245
"383",-111.37872,41.5993
"384",-103.58614,43.92413
"385",-106.26526,37.94469
"386",-106.25932,37.84522
"387",-103.60549,46.92637
"388",-103.62707,46.86721
"389",-110.9795,45.70403
"390",-111.735,46.45531
"391",-113.1162,44.54909
"392",-103.32884,47.10192
"393",-103.57899,46.77056
"394",-103.40446,47.15773
"395",-113.49106,44.98506
"396",-113.22193,44.75405
"397",-106.23693,38.17437
"398",-113.90519,45.09515
"399",-113.71001,44.90908
"400",-113.50217,44.97846
"401",-113.75998,44.92058
"402",-113.73303,44.76909
"403",-106.28513,38.10559
"404",-106.21141,38.18438
"405",-106.19986,38.18003
"406",-106.359,38.10385
"407",-106.34896,38.1154
"408",-106.27551,38.16009
"409",-106.25907,38.16288
"410",-106.02012,38.21564
"411",-106.03391,38.12879
"412",-105.86385,38.22195
"413",-106.3101,37.85842
"414",-114.2118,43.86201
"415",-103.61239,47.28577
"416",-111.52719,42.38507
"417",-114.0977,42.31215
"418",-103.77594,44.01889
"419",-113.88691,45.57872
"420",-113.73755,45.01122
"421",-113.82045,45.2751
"422",-110.75027,45.51333
"423",-111.03475,43.14399
"424",-105.8094,38.16495
"425",-106.30175,38.19783
"426",-110.37791,43.59472
"427",-106.31658,38.11511
"428",-113.17582,43.42824
"429",-109.53704,41.28273
"430",-113.88353,44.45239
"431",-113.30476,44.19048
"432",-106.37629,37.8885
"433",-113.96364,45.38485
"434",-113.91853,45.28827
"435",-113.88986,44.14329
"436",-113.76575,43.96453
"437",-113.65851,43.82996
"438",-109.57425,41.08038
"439",-109.47801,41.32561
"440",-109.58303,41.25013
"441",-106.34131,37.86333
"442",-103.39406,47.14708
"443",-103.5804,47.29833
"444",-103.57805,46.71721
"445",-113.20095,44.56564
"446",-103.50786,46.56681
"447",-103.82585,47.3441
"448",-105.18499,36.7859
"449",-103.75505,43.76271
"450",-114.47515,44.01536
"451",-113.9841,44.61904
"452",-113.2541,44.777
"453",-113.2772,44.23793
"454",-113.91286,45.3985
"455",-106.40797,39.57075
"456",-106.15724,37.0339
"457",-113.84251,45.34834
"458",-106.35251,37.86832
"459",-106.41508,37.90802
"460",-113.03468,43.8296
"461",-106.16723,38.11945
"462",-106.21911,38.15861
"463",-105.95674,38.21118
"464",-105.96975,38.21502
"465",-106.41759,39.56533
"466",-113.53072,45.63133
"467",-103.501,47.53496
"468",-112.97295,44.23106
"469",-114.22564,44.58535
"470",-114.24893,44.10669
"471",-113.83567,44.54025
"472",-113.29342,44.70357
"473",-103.62683,46.95212
"474",-106.01934,36.84909
"475",-111.22267,42.33332
"476",-106.19157,38.18939
"477",-113.1336,44.54369
"478",-109.41527,41.47797
"479",-103.77339,47.4165
"480",-113.77494,45.04709
"481",-113.93995,45.42329
"482",-106.21618,38.19361
"483",-106.46133,38.15427
"484",-106.45795,38.16376
"485",-106.38083,38.20243
"486",-106.35391,38.19474
"487",-106.16983,37.99353
"488",-106.28544,37.98716
"489",-113.53919,45.52667
"490",-103.24337,46.77496
"491",-106.30135,38.23944
"492",-106.34494,38.1885
"493",-113.2307,44.61561
"494",-103.39096,47.1813
"495",-116.27631,45.60673
"496",-115.67254,41.91139
"497",-113.16309,44.54418
"498",-113.51158,44.8056
"499",-113.17964,44.54482
"500",-113.906,45.26153
"501",-113.91158,45.37418
"502",-113.90974,45.13215
"503",-103.66482,47.20536
"504",-103.59842,47.31346
"505",-103.36136,47.17272
"506",-103.30779,47.18967
